glycan_mass,project_name,file_name,spectrum_id,ipc_index
2352,PXD026629,20180904YLJ-VSV4h-02.ipc,17157,745
2352,PXD026629,20180904YLJ-VSV4h-02.ipc,17944,818
2352,PXD026629,20180904YLJ-VSV4h-02.ipc,18011,826
1355,PXD026629,20180904YLJ-VSV4h-02.ipc,16237,631
1355,PXD026629,20180904YLJ-VSV4h-02.ipc,22778,1619
1355,PXD026629,20180904YLJ-VSV4h-02.ipc,22856,1635
1355,PXD026629,20180904YLJ-VSV4h-02.ipc,26441,2220
1355,PXD026629,20180904YLJ-VSV4h-02.ipc,26517,2235
1987,PXD026629,20180904YLJ-VSV4h-02.ipc,16644,693
1987,PXD026629,20180904YLJ-VSV4h-02.ipc,16718,701
1987,PXD026629,20180904YLJ-VSV4h-02.ipc,16798,708
1987,PXD026629,20180904YLJ-VSV4h-02.ipc,19897,1111
1987,PXD026629,20180904YLJ-VSV4h-02.ipc,19969,1119
2789,PXD026629,20180904YLJ-VSV4h-02.ipc,17028,732
2789,PXD026629,20180904YLJ-VSV4h-02.ipc,17419,774
2789,PXD026629,20180904YLJ-VSV4h-02.ipc,17932,817
2789,PXD026629,20180904YLJ-VSV0h-03.ipc,20638,872
2789,PXD026629,20180904YLJ-VSV0h-03.ipc,21166,909
1006,PXD026629,20180904YLJ-VSV4h-02.ipc,17173,749
1006,PXD026629,20180904YLJ-VSV4h-02.ipc,17272,761
1006,PXD026629,20180904YLJ-VSV4h-02.ipc,17346,769
1006,PXD026629,20180904YLJ-VSV4h-02.ipc,18520,901
1006,PXD026629,20180904YLJ-VSV4h-02.ipc,18573,910
1663,PXD026629,20180904YLJ-VSV4h-02.ipc,17236,756
1663,PXD026629,20180904YLJ-VSV4h-02.ipc,17321,765
1663,PXD026629,20180904YLJ-VSV4h-02.ipc,18645,920
1663,PXD026629,20180904YLJ-VSV4h-02.ipc,18651,921
1663,PXD026629,20180904YLJ-VSV4h-02.ipc,18711,927
1639,PXD026629,20180904YLJ-VSV4h-02.ipc,17659,793
1639,PXD026629,20180904YLJ-VSV4h-02.ipc,45286,6230
1639,PXD026629,20180904YLJ-VSV4h-02.ipc,45340,6237
1639,PXD026629,20180904YLJ-VSV4h-02.ipc,45362,6243
1639,PXD026629,20180904YLJ-VSV4h-02.ipc,46359,6439
1559,PXD026629,20180904YLJ-VSV4h-02.ipc,17809,806
1559,PXD026629,20180904YLJ-VSV4h-02.ipc,17863,811
1559,PXD026629,20180904YLJ-VSV4h-02.ipc,17880,814
1559,PXD026629,20180904YLJ-VSV4h-02.ipc,22834,1629
1559,PXD026629,20180904YLJ-VSV4h-02.ipc,25121,2014
2393,PXD026629,20180904YLJ-VSV4h-02.ipc,17954,820
2393,PXD026629,20180904YLJ-VSV4h-02.ipc,17956,822
2393,PXD026629,20180904YLJ-VSV4h-02.ipc,18020,828
2393,PXD026629,20180904YLJ-VSV4h-02.ipc,18458,889
2393,PXD026629,20180904YLJ-VSV4h-02.ipc,19074,985
2028,PXD026629,20180904YLJ-VSV4h-02.ipc,18088,836
2028,PXD026629,20180904YLJ-VSV4h-02.ipc,18752,934
2028,PXD026629,20180904YLJ-VSV4h-02.ipc,18778,937
2028,PXD026629,20180904YLJ-VSV4h-02.ipc,18822,943
2028,PXD026629,20180904YLJ-VSV4h-02.ipc,18844,947
2758,PXD026629,20180904YLJ-VSV4h-02.ipc,18120,840
2758,PXD026629,20180904YLJ-VSV4h-02.ipc,18480,895
2758,PXD026629,20180904YLJ-VSV4h-02.ipc,18557,909
2758,PXD026629,20180904YLJ-VSV4h-02.ipc,40108,5078
2758,PXD026629,20180904YLJ-VSV4h-02.ipc,40187,5098
2572,PXD026629,20180904YLJ-VSV4h-02.ipc,18156,844
2572,PXD026629,20180904YLJ-VSV4h-02.ipc,25680,2090
2572,PXD026629,20180904YLJ-VSV4h-02.ipc,25746,2106
2572,PXD026629,20180904YLJ-VSV4h-02.ipc,27582,2401
2572,PXD026629,20180904YLJ-VSV4h-02.ipc,27788,2442
2012,PXD026629,20180904YLJ-VSV4h-02.ipc,18750,933
2012,PXD026629,20180904YLJ-VSV4h-02.ipc,18976,969
2012,PXD026629,20180904YLJ-VSV4h-02.ipc,28644,2622
2012,PXD026629,20180904YLJ-VSV4h-02.ipc,32273,3352
2012,PXD026629,20180904YLJ-VSV4h-02.ipc,33467,3609
2174,PXD026629,20180904YLJ-VSV4h-02.ipc,18834,945
2174,PXD026629,20180904YLJ-VSV4h-02.ipc,20302,1179
2174,PXD026629,20180904YLJ-VSV4h-02.ipc,20854,1261
2174,PXD026629,20180904YLJ-VSV4h-02.ipc,20947,1275
2174,PXD026629,20180904YLJ-VSV4h-02.ipc,21032,1286
2481,PXD026629,20180904YLJ-VSV4h-02.ipc,18909,957
2481,PXD026629,20180904YLJ-VSV4h-02.ipc,18973,967
2481,PXD026629,20180904YLJ-VSV4h-02.ipc,19596,1064
2481,PXD026629,20180904YLJ-VSV4h-02.ipc,22200,1508
2481,PXD026629,20180904YLJ-VSV4h-02.ipc,22265,1526
2207,PXD026629,20180904YLJ-VSV4h-02.ipc,19265,1008
2207,PXD026629,20180904YLJ-VSV4h-02.ipc,19492,1050
2207,PXD026629,20180904YLJ-VSV4h-02.ipc,21853,1429
2207,PXD026629,20180904YLJ-VSV4h-02.ipc,24084,1871
2207,PXD026629,20180904YLJ-VSV4h-02.ipc,24126,1879
1988,PXD026629,20180904YLJ-VSV4h-02.ipc,19465,1045
1988,PXD026629,20180904YLJ-VSV4h-02.ipc,54519,8381
1988,PXD026629,20180904YLJ-VSV4h-02.ipc,54698,8451
1988,PXD026629,20180904YLJ-VSV0h-03.ipc,22633,1098
1988,PXD026629,20180904YLJ-VSV0h-03.ipc,35541,3395
2256,PXD026629,20180904YLJ-VSV4h-02.ipc,19548,1057
2256,PXD026629,20180904YLJ-VSV4h-02.ipc,64647,11146
2256,PXD026629,20180831YLJ-H6h-02.ipc,40788,4247
2256,PXD026629,20180831YLJ-H6h-02.ipc,40881,4276
2256,PXD026629,YangLuJie-LPS4h-2.ipc,19632,1040
2305,PXD026629,20180904YLJ-VSV4h-02.ipc,19586,1063
2305,PXD026629,20180904YLJ-VSV4h-02.ipc,53814,8124
2305,PXD026629,20180904YLJ-VSV4h-02.ipc,53824,8128
2305,PXD026629,20180904YLJ-VSV4h-02.ipc,58082,9690
2305,PXD026629,20180904YLJ-VSV0h-03.ipc,22744,1116
2287,PXD026629,20180904YLJ-VSV4h-02.ipc,19603,1065
2287,PXD026629,20180904YLJ-VSV4h-02.ipc,64322,11090
2287,PXD026629,20180904YLJ-VSV4h-02.ipc,79941,13853
2287,PXD026629,20180904YLJ-VSV0h-03.ipc,49458,6540
2287,PXD026629,20180831YLJ-H6h-01.ipc,66349,10562
1883,PXD026629,20180904YLJ-VSV4h-02.ipc,19783,1090
1883,PXD026629,20180904YLJ-VSV4h-02.ipc,20078,1134
1883,PXD026629,20180904YLJ-VSV4h-02.ipc,20143,1143
1883,PXD026629,20180904YLJ-VSV4h-02.ipc,26946,2298
1883,PXD026629,20180904YLJ-VSV4h-02.ipc,27010,2308
2045,PXD026629,20180904YLJ-VSV4h-02.ipc,20003,1121
2045,PXD026629,20180904YLJ-VSV4h-02.ipc,21927,1446
2045,PXD026629,20180904YLJ-VSV4h-02.ipc,22617,1598
2045,PXD026629,20180904YLJ-VSV4h-02.ipc,24256,1894
2045,PXD026629,20180904YLJ-VSV4h-02.ipc,24257,1895
1575,PXD026629,20180904YLJ-VSV4h-02.ipc,20191,1153
1575,PXD026629,20180904YLJ-VSV4h-02.ipc,23639,1800
1575,PXD026629,20180904YLJ-VSV4h-02.ipc,28508,2602
1575,PXD026629,20180904YLJ-VSV4h-02.ipc,35834,4106
1575,PXD026629,20180904YLJ-VSV4h-02.ipc,35914,4126
1413,PXD026629,20180904YLJ-VSV4h-02.ipc,20217,1162
1413,PXD026629,20180904YLJ-VSV4h-02.ipc,20288,1177
1413,PXD026629,20180904YLJ-VSV4h-02.ipc,24850,1983
1413,PXD026629,20180904YLJ-VSV4h-02.ipc,36096,4173
1413,PXD026629,20180904YLJ-VSV4h-02.ipc,40591,5213
2191,PXD026629,20180904YLJ-VSV4h-02.ipc,20232,1164
2191,PXD026629,20180904YLJ-VSV4h-02.ipc,28496,2598
2191,PXD026629,20180904YLJ-VSV4h-02.ipc,31670,3166
2191,PXD026629,20180904YLJ-VSV4h-02.ipc,32738,3463
2191,PXD026629,20180904YLJ-VSV4h-02.ipc,36480,4256
3162,PXD026629,20180904YLJ-VSV4h-02.ipc,20781,1248
3162,PXD026629,20180904YLJ-VSV4h-02.ipc,20858,1264
3162,PXD026629,20180904YLJ-VSV4h-02.ipc,66023,11343
3162,PXD026629,20180831YLJ-H6h-01.ipc,61648,9608
3162,PXD026629,20180831YLJ-H6h-02.ipc,71119,11592
3080,PXD026629,20180904YLJ-VSV4h-02.ipc,22078,1479
3080,PXD026629,20180904YLJ-VSV4h-02.ipc,70641,12094
3080,PXD026629,20180904YLJ-VSV0h-03.ipc,72577,12537
3080,PXD026629,20180904YLJ-VSV0h-03.ipc,72671,12554
3080,PXD026629,20180831YLJ-H6h-01.ipc,21892,1422
2428,PXD026629,20180904YLJ-VSV4h-02.ipc,23082,1676
2428,PXD026629,20180904YLJ-VSV4h-02.ipc,52342,7728
2428,PXD026629,20180831YLJ-H6h-01.ipc,50975,7001
2428,PXD026629,20180831YLJ-H6h-02.ipc,65771,10446
2428,PXD026629,YangLuJie-LPS4h-2.ipc,57640,7738
1314,PXD026629,20180904YLJ-VSV4h-02.ipc,23695,1812
1314,PXD026629,20180904YLJ-VSV4h-02.ipc,23722,1818
1314,PXD026629,20180904YLJ-VSV4h-02.ipc,23764,1829
1314,PXD026629,20180904YLJ-VSV4h-02.ipc,23797,1835
1314,PXD026629,20180904YLJ-VSV4h-02.ipc,23830,1842
1680,PXD026629,20180904YLJ-VSV4h-02.ipc,23786,1832
1680,PXD026629,20180904YLJ-VSV4h-02.ipc,27159,2326
1680,PXD026629,20180904YLJ-VSV4h-02.ipc,27755,2436
1680,PXD026629,20180904YLJ-VSV4h-02.ipc,28540,2605
1680,PXD026629,20180904YLJ-VSV4h-02.ipc,28552,2607
1981,PXD026629,20180904YLJ-VSV4h-02.ipc,23811,1838
1981,PXD026629,20180904YLJ-VSV4h-02.ipc,49357,7050
1981,PXD026629,20180904YLJ-VSV4h-02.ipc,55610,8805
1981,PXD026629,20180904YLJ-VSV4h-02.ipc,55726,8846
1981,PXD026629,20180904YLJ-VSV4h-02.ipc,57261,9407
2701,PXD026629,20180904YLJ-VSV4h-02.ipc,24473,1927
2701,PXD026629,20180904YLJ-VSV4h-02.ipc,52044,7657
2701,PXD026629,20180904YLJ-VSV4h-02.ipc,52774,7819
2701,PXD026629,20180904YLJ-VSV4h-02.ipc,52945,7845
2701,PXD026629,20180904YLJ-VSV4h-02.ipc,57289,9416
2613,PXD026629,20180904YLJ-VSV4h-02.ipc,25429,2054
2613,PXD026629,20180904YLJ-VSV4h-02.ipc,40412,5154
2613,PXD026629,20180904YLJ-VSV4h-02.ipc,47499,6659
2613,PXD026629,20180904YLJ-VSV4h-02.ipc,65838,11308
2613,PXD026629,20180904YLJ-VSV4h-02.ipc,65912,11320
2319,PXD026629,20180904YLJ-VSV4h-02.ipc,25432,2056
2319,PXD026629,20180904YLJ-VSV4h-02.ipc,25506,2064
2319,PXD026629,20180904YLJ-VSV4h-02.ipc,27054,2313
2319,PXD026629,20180904YLJ-VSV4h-02.ipc,28575,2611
2319,PXD026629,20180904YLJ-VSV4h-02.ipc,28868,2649
3519,PXD026629,20180904YLJ-VSV4h-02.ipc,25441,2059
3519,PXD026629,20180904YLJ-VSV4h-02.ipc,53173,7907
3519,PXD026629,20180904YLJ-VSV4h-02.ipc,55032,8583
3519,PXD026629,20180904YLJ-VSV4h-02.ipc,56668,9180
3519,PXD026629,20180904YLJ-VSV4h-02.ipc,58433,9812
317,PXD026629,20180904YLJ-VSV4h-02.ipc,25583,2073
317,PXD026629,20180904YLJ-VSV4h-02.ipc,25648,2083
317,PXD026629,20180904YLJ-VSV4h-02.ipc,25712,2098
317,PXD026629,20180904YLJ-VSV4h-02.ipc,27428,2369
317,PXD026629,20180904YLJ-VSV4h-02.ipc,27500,2383
1866,PXD026629,20180904YLJ-VSV4h-02.ipc,25695,2094
1866,PXD026629,20180904YLJ-VSV4h-02.ipc,35955,4136
1866,PXD026629,20180904YLJ-VSV4h-02.ipc,41667,5513
1866,PXD026629,20180904YLJ-VSV4h-02.ipc,52252,7706
1866,PXD026629,20180904YLJ-VSV4h-02.ipc,52368,7735
2369,PXD026629,20180904YLJ-VSV4h-02.ipc,25909,2131
2369,PXD026629,20180904YLJ-VSV4h-02.ipc,30069,2882
2369,PXD026629,20180904YLJ-VSV4h-02.ipc,31385,3096
2369,PXD026629,20180904YLJ-VSV4h-02.ipc,32455,3401
2369,PXD026629,20180904YLJ-VSV4h-02.ipc,36907,4333
2248,PXD026629,20180904YLJ-VSV4h-02.ipc,26289,2191
2248,PXD026629,20180904YLJ-VSV4h-02.ipc,40391,5149
2248,PXD026629,20180904YLJ-VSV4h-02.ipc,41164,5376
2248,PXD026629,20180904YLJ-VSV4h-02.ipc,41898,5573
2248,PXD026629,20180904YLJ-VSV4h-02.ipc,43115,5822
1518,PXD026629,20180904YLJ-VSV4h-02.ipc,26345,2200
